"AD_Org_ID[Name]","ZZSAQAQualificationCode","ZZSAQAQualificationTitle","ZZNqfLevel","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZQualityAssuranceBody","ZZQualificationType","ZZReplacementQualification_ID[ZZSAQAQualificationCode]","ZZNewRegistrationStartDate","ZZNewRegistrationEndDate","ZZNewLastEnrolmentDate","ZZNewLastAchievementDate","ZZIsReplacement","ZZIsReregistered","ZZMinimumElectiveCredits","IsActive","ZZMigrationCode/K","ZZMigrateValues"
*,"23624",National Certificate Diesel Mechanic ,"3",120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,,Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,N,1,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1105
*,"23625",National Certificate: Electrical,"4",120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,N,2,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1165
*,"23626",National Certificate Fitting and Turning ,"3",120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,N,3,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1090
*,"23627",National Certificate Fitting (Including Machining) ,"3",120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,N,4,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1102
*,"23628",National Certificate: Instrumentation Mechanician,"4",99,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,N,5,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1174
*,"23813",National Certificate Rigger Ropesman,"3",120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,N,6,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1079
*,"21841",National Certificate in Winding Engine Driving,"3",127,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,7,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1396
*,"21844",National Certificate in Jewellery Manufacture in a Production Environment,"3",159,2005-08-03 00:00:00.000,2008-08-23 00:00:00.000,2013-08-23 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,8,
*,"21846",National Certificate in Diamond Processing Operator,"2",120,2005-08-23 00:00:00.000,2008-08-23 00:00:00.000,2012-08-23 00:00:00.000,1900-01-01 00:00:00.000,,Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,9,
*,"21814",National Certificate in Engineering Maintenance and Repairing for Underground Coal Mining,"2",148,2018-07-01 00:00:00.000,2026-06-30 00:00:00.000,2026-06-30 00:00:00.000,2029-06-30 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,10,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:49
*,"21845",Further Education and Training Certificate in  Diamond Processing: Polisher - Crossworker,"4",351,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,11,
*,"21812",National certificate in Mining Operations: Underground Coal ,"3",120,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,12,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:49
*,"21815",National Certificate in Engineering Maintenance for Underground Hard Rock (Metalliferous) ,"2",120,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,13,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:49
*,"21843",National Certificate in Diamond Processing: Polisher - Brillianteer,"3",323,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,14,
*,"21842",National Certificate: Surface Mining Rockbreaking ,"2",147,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,15,
*,"49045",National Certificate in Lump Ore Beneficiation (L2),"2",163,2004-12-02 00:00:00.000,2007-12-02 00:00:00.000,2008-12-02 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,16,
*,"48804","National Certificate Occupational Safety, Hygiene and Environment ","2",135,2007-08-07 00:00:00.000,2010-08-07 00:00:00.000,2011-08-07 00:00:00.000,1900-01-01 00:00:00.000,,Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,17,
*,"50063",Further Education and Training Certificate in  Occupational Safety (Version1),"4",145,2008-10-20 00:00:00.000,2011-10-20 00:00:00.000,2012-10-20 00:00:00.000,1900-01-01 00:00:00.000,,Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,18,
