"AD_Org_ID[Name]","ZZLearnershipTitle","ZZLearnershipCode","ZZLearnershipType","ZZQualification_ID[Value]","ZZNqfLevel","ZZCredits","ZZQualityAssuranceBody","Registrationstartdate","Registrationenddate","ZZMinimumElectiveCredits","IsActive","ZZMigrationCode","ZZMigrateValues"
*,Autotronics L2,"17Q170030001282",,"22858","2",128,,2002-12-04 00:00:00.000,2002-12-04 00:00:00.000,0,N,25,
*,National Certificate in Autotronics L3,"17q170030001413",,"22859","3",141,,2011-10-30 00:00:00.000,2011-10-30 00:00:00.000,0,N,26,
*,National Certificate: Diesel Mechanic: Surface Diamonds,"16Q160014001373",,"23624","3",146,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,N,27,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1105
*,National Certificate: Diesel Mechanic: Metalliferous,"16Q160013001493",,"23624","3",149,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,N,28,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1105
*,National Certificate: Diesel Mechanic: Coal,"16Q160012001623",,"23624","4",162,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,N,29,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1105
*,National Certificate Plater/Welder - Underground Diamonds,"16Q160015001683",,"21846","3",168,,2003-05-06 00:00:00.000,2003-05-06 00:00:00.000,0,N,30,
*,National Certificate: Electrical: Metalliferous,"16Q160041003404",,"23625","4",340,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,N,31,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1165
*,National Certificate: Electrical: Opencast,"16Q160040003294",,"23625","4",329,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,N,32,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1165
*,National Certificate: Electrical: Surface Coal,"16Q160039003444",,"23625","4",344,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,N,33,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1165
*,National Certificate: Electrical: Surface Diamonds,"16Q160042003014",,"23625","4",301,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,N,34,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1165
*,National Certificate: Electrical: Underground Coal,"16Q160038003494",,"23625","4",349,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,N,35,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1165
*,National Certificate: Electrical: Underground Diamonds,"16Q160037003134",,"23625","4",313,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,N,36,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1165
*,National Certificate: Fitting and Turning: Underground Diamonds,"16Q160032001593",,"23626","3",159,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,N,37,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1090
*,National Certificate: Fitting and Turning: Open Cast,"16Q160054001463",,"23626","3",146,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,N,38,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1090
*,National Certificate: Fitting and Turning: Surface Coal,"16Q160034001463",,"23626","3",146,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,N,39,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1090
*,National Certificate: Fitting and Turning: Surface Diamonds,"16Q160036001403",,"23626","3",140,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,N,40,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1090
*,National Certificate: Fitting and Turning: Underground Coal,"16Q160033001853",,"23626","3",185,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,N,41,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1090
*,National Certificate: Fitting and Turning: Metalliferous,"16Q160035002763",,"23626","3",276,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,N,42,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1090
*,National Certificate: Fitting (including machining) : Underground Coal,"16Q160024001533",,"23627","3",153,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,N,43,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1102
*,National Certificate: Fitting (including machining) : Underground Daimonds,"16Q160023001273",,"23627","3",127,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,N,44,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1102
*,National Certificate: Fitting (including machining) : Metalliferous,"16Q160026002443",,"23627","3",153,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,N,45,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1102
*,National Certificate: Fitting (including machining) : Surface Coal,"16Q160025001283",,"23627","3",128,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,N,46,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1102
*,National Certificate: Fitting (including machining) : Surface Diamonds,"16Q160027001203",,"23627","3",120,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,N,47,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1102
*,National Certificate: Fitting (including machining) : Open Cast,"16Q160053001463",,"23627","3",146,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,N,48,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1102
*,National Certificate: Instrumentation Mechanician,"16Q160008001764",,"23628","4",176,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,N,49,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1174
*,Management,"23Q230027371203",Non MQA learnership,"23654","3",120,,2003-10-08 00:00:00.000,2025-06-30 00:00:00.000,0,N,50,
*,Learnership Towards National Certificate - Supervisor,"23Q230028561404",,"23656","4",140,,2004-11-03 00:00:00.000,2004-11-03 00:00:00.000,0,N,51,
*,National Certificate: Rigger Ropesman: Open Cast,"16Q160010001273",,"23813","3",127,,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,N,52,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1079
*,National Certificate: Rigger Ropesman: Surface / Underground,"16Q160009001273",,"23813","3",127,,2012-06-30 00:00:00.000,2012-06-30 00:00:00.000,0,N,53,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1079
*,Community House Builder (Entrepreneurial),"05Q050061251552",,"24273","2",155,,2005-04-07 00:00:00.000,2005-04-07 00:00:00.000,0,N,54,
*,First Line Management,Q230033 34 152 5,,"24493","5",152,,2003-10-08 00:00:00.000,2003-10-08 00:00:00.000,0,N,55,
*,First Line Manager,"23Q230033341525",,"24493","5",152,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,N,56,
*,Payroll Administration,"23Q230031261534",,"35927","3",153,,2005-04-07 00:00:00.000,2005-04-07 00:00:00.000,0,N,57,
*,National Certificate in Measurement Control and Instrumentation,"08Q080034281392",,"48695","2",139,,2004-04-07 00:00:00.000,2004-04-07 00:00:00.000,0,N,58,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1112
*,National Certificate in Measurement Control and Instrumentaion,"08Q080035251503",,"48696 ","3",150,,2004-04-07 00:00:00.000,2004-04-07 00:00:00.000,0,N,59,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1112
*,"National Certificate: Occupational Safety, Hygiene and Environment","16Q160065571412",,"48804","1",135,,2006-06-12 00:00:00.000,2006-06-12 00:00:00.000,0,N,60,
*,Chartered Accountant: Financial Management,"01Q010002004807",,"48912","7",480,,2003-08-13 00:00:00.000,2003-08-13 00:00:00.000,0,N,61,
*,Associate General Accountant,"01Q0100030036066",,"48914","6",606,,2003-08-13 00:00:00.000,2003-08-13 00:00:00.000,0,N,62,
*,"National Certificate: Mineral Processing, Gold Extraction","16Q160071421243",,"49044","1",124,,2007-03-07 00:00:00.000,2007-03-07 00:00:00.000,0,N,63,
*,National Certificate: Lump Ore Beneficiation: Jig Concentration,"16Q160064611632",,"49045","2",163,,2005-09-20 00:00:00.000,2005-09-20 00:00:00.000,0,N,64,
*,National Certificate: Lump Ore Beneficiation: Dense Medium Separation,"16Q160062611632",,"49045","2",163,,2005-09-20 00:00:00.000,2005-09-20 00:00:00.000,0,N,65,
*,Learnership National Certificate Furniture Making Wood,"10Q100028001332",,"49091","2",133,,2004-08-02 00:00:00.000,2004-08-02 00:00:00.000,0,N,66,
*,Further Education and Training Certificate: Minerals ,"16Q160069441484",,"50082","4",148,,2006-12-08 00:00:00.000,2006-12-08 00:00:00.000,0,N,67,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:528
*,National Certificate: Rockbreaking: Quarrying: Quarries,"16Q160072483693",,"57121","3",160,,2007-03-07 00:00:00.000,2007-03-07 00:00:00.000,0,N,68,
*,National Certificate: Rockbreaking: Quarrying: Dimension Stone,"16Q160073481603",,"57121","3",160,,2007-03-07 00:00:00.000,2007-03-07 00:00:00.000,0,N,69,
*,Further Education and Training Certificate: Carbonate Materials Manufacturing Processes: Lime Manufacturing,"16Q160075261594",,"57692","4",170,,2007-03-07 00:00:00.000,2007-03-07 00:00:00.000,0,N,70,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1444
*,Further Education and Training Certificate: Jewellery Designing,"16Q160079311464",,"57875","4",146,,2007-10-08 00:00:00.000,2007-10-08 00:00:00.000,0,N,71,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1117
*,Further Education and Training Certificate: Jewellery Manufacturing Operations,"16Q160078291504",,"57876","4",150,,2007-10-11 00:00:00.000,2007-10-11 00:00:00.000,0,N,72,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1272
*,National Certificate: Electro-Mechanics: Mining and Minerals,"16Q160083471662 ",,"60293","2",166,,2007-05-02 00:00:00.000,2007-05-02 00:00:00.000,0,N,73,
*,Further Education and Training Certificate: Electro-Mechanics: Mining and Minerals,"16Q160085291714 ",,"60295","4",171,,2007-05-02 00:00:00.000,2007-05-02 00:00:00.000,0,N,74,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1167
*,National Certificate: Electro-Mechanics: Mining and Minerals,"16Q160077471413",,"60294","3",141,,2007-05-02 00:00:00.000,2007-05-02 00:00:00.000,0,N,75,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1167
*,National Certificate: Electro-Mechanics: Mining and Minerals,"16Q160084441413 ",,"60294","3",141,,2007-05-02 00:00:00.000,2007-05-02 00:00:00.000,0,N,76,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1167
*,Further Education and Training Certificate: Engineering Fabrication ,"16Q160092282344",,"60292","4",234,,2007-08-16 00:00:00.000,2007-08-16 00:00:00.000,0,N,77,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:192
*,National Certificate: Mining Operations for Underground Hard Rock: Conventional Mining,"16Q160086991302 ",,"58739","2",130,,2007-08-16 00:00:00.000,2007-08-16 00:00:00.000,0,N,78,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256
*,National Certificate: Mining Operations for Underground Hard Rock: Mechanised Mining,"16Q160089991302",,"58739","2",130,,2007-08-16 00:00:00.000,2007-08-16 00:00:00.000,0,N,79,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256
*,National Certificate: Rock Breaking Underground Hard Rock: Conventional Mining,"16Q160088331263 ",,"58760","3",126,,2012-06-30 00:00:00.000,2012-06-30 00:00:00.000,0,N,80,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256
*,National Certificate: Rock Breaking Underground Hard Rock: Mechanised Mining,"16Q160087331293",,"58760","3",126,,2007-08-16 00:00:00.000,2007-08-16 00:00:00.000,0,N,81,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256
*,National Certificate: Mineral Processing: Base Metals,"16Q160094641292",,"59305","2",129,,2007-11-28 00:00:00.000,2007-11-28 00:00:00.000,0,N,82,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1258
*,National Certificate: Lump Ore Beneficiation: Diamonds,"16Q160061611632",,"49045","2",163,,2004-12-02 00:00:00.000,1900-01-01 00:00:00.000,0,N,83,
*,National Certificate: Lump Ore Beneficiation: Heavy Minerals,"16Q160063611632",,"49045","2",0,,2004-12-02 00:00:00.000,1900-01-01 00:00:00.000,0,N,84,
*,National Certificate: Engineering Fabrication,"16Q160090442142",,"60290","2",148,,2007-08-16 00:00:00.000,2007-08-16 00:00:00.000,0,N,85,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:192
*,National Certificate: Engineering Fabrication,"16Q160091512863",,"60291","3",0,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,N,86,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:192
*,National Certificate: Occupational Hygiene and Safety,"16Q160068541443",,"79826","3",144,,2008-10-20 00:00:00.000,2008-10-20 00:00:00.000,0,N,87,
*,National Certificate: Plater/Boilermaker: Coal,"16Q160020001343",,"23630","3",0,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,N,88,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1074
*,National Certificate: Plater/Boilermaker: Diamonds Open Cast,"16Q160022001493",,"23630","3",0,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,N,89,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1074
*,National Certificate: Plater/Boilermaker: Metalliferous,"16Q160021001733",,"23630","3",0,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,N,90,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1074
*,National Certificate: Plater/Boilermaker: Opencast,"16Q160019001323",,"23630","3",0,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,N,91,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1074
*,National Certificate Plater/Welder - Coal,"16Q160016001333",,"23631","3",0,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,N,92,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1070
*,National Certificate: Plater/Welder: Metalliferous,"16Q160017001773",,"23631","3",0,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,N,93,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1070
